,data,date,param,siteid,Minimum temperature,Maximum temperature,Precipitation
1,0,1/1/2003, Precipitation,ACRE,-9.420000076,3.269999981,0
2,0,1/2/2003, Precipitation,AlbertLea,-9.539999962,2.170000076,0
3,11.31999969,1/3/2003, Precipitation,Ames,-12.89999962,-1.470000029,11.31999969
4,0,1/4/2003, Precipitation,Antigo,-11.93000031,-2.25999999,0
5,3.039999962,1/5/2003, Precipitation,Appleton,-3.539999962,0.039999999,3.039999962
6,0.49000001,1/6/2003, Precipitation,Arlington,-4.550000191,1.080000043,0.49000001
7,0,1/7/2003, Precipitation,Bean&Beet,-5.460000038,0.289999992,0
8,0,1/8/2003, Precipitation,Brookings,-1.899999976,4.690000057,0
9,0,1/9/2003, Precipitation,Brownstown,-1.830000043,9.199999809,0
10,0,1/10/2003, Precipitation,Columbia,-12.10000038,6.760000229,0
11,0,1/11/2003, Precipitation,Crookston,-18.73999977,-2.849999905,0
12,0,1/12/2003, Precipitation,Dekalb,-18.54000092,-4.650000095,0
13,0,1/13/2003, Precipitation,DixonSprings,-17.01000023,-0.689999998,0
14,1.049999952,1/14/2003, Precipitation,DPAC,-20.10000038,-0.479999989,1.049999952
15,0,1/15/2003, Precipitation,EastLansing,-21.09000015,-6.630000114,0
16,0.200000003,1/16/2003, Precipitation,EauClaire,-21.13999939,-6.210000038,0.200000003
17,1.279999971,1/17/2003, Precipitation,Freeport,-20.65999985,-4.369999886,1.279999971
18,0,1/18/2003, Precipitation,Hancock,-20.60000038,-6.230000019,0
19,0.730000019,1/19/2003, Precipitation,Joilet,-19.60000038,-7.239999771,0.730000019
20,1.100000024,1/20/2003, Precipitation,Kellogg,-15.94999981,0.200000003,1.100000024
21,0,1/21/2003, Precipitation,Lamberton,-20.87000084,-5.340000153,0
22,0,1/22/2003, Precipitation,Lancaster,-21.30999947,-6.71999979,0
23,0,1/23/2003, Precipitation,Lexington,-25.42000008,-8.789999962,0
24,0,1/24/2003, Precipitation,Manhattan,-25.5,-12.38000011,0
25,0,1/25/2003, Precipitation,McNay,-15.43999958,-9.109999657,0
26,2.119999886,1/26/2003, Precipitation,Metamora,-22.12999916,-0.720000029,2.119999886
27,0,1/27/2003, Precipitation,Monmouth,-22.53000069,-9.239999771,0
28,0,1/28/2003, Precipitation,Monroe,-13.92000008,-3.480000019,0
29,4.440000057,1/29/2003, Precipitation,MorrisIL,-16.29000092,1.24000001,4.440000057
30,0,1/30/2003, Precipitation,MorrisMN,-16.10000038,-0.829999983,0
31,0.340000004,1/31/2003, Precipitation,Nashua,-8.109999657,1.399999976,0.340000004
32,5.650000095,2/1/2003, Precipitation,NEPAC,-2.410000086,2.039999962,5.650000095
33,1.529999971,2/2/2003, Precipitation,Oceana,-1.570000052,2.049999952,1.529999971
34,0,2/3/2003, Precipitation,Perry,-0.75999999,6.769999981,0
35,6.599999905,2/4/2003, Precipitation,PIT,-16.94000053,12.65999985,6.599999905
36,0,2/5/2003, Precipitation,Portageville,-17.72999954,-2.470000029,0
37,0.49000001,2/6/2003, Precipitation,PPAC,-17.53000069,-2.059999943,0.49000001
38,0.310000002,2/7/2003, Precipitation,Princeton,-25.67000008,0.600000024,0.310000002
39,0,2/8/2003, Precipitation,Rhinelander,-25.98999977,-6.869999886,0
40,0,2/9/2003, Precipitation,Rosemount,-22.54999924,-0.07,0
41,0.850000024,2/10/2003, Precipitation,Sanilac,-21.82999992,-1.570000052,0.850000024
42,0.74000001,2/11/2003, Precipitation,SEPAC,-21.60000038,-0.5,0.74000001
43,0,2/12/2003, Precipitation,Seymour,-22.18000031,1.840000033,0
44,0,2/13/2003, Precipitation,Sutherland,-19.14999962,-4.590000153,0
45,0,2/14/2003, Precipitation,Urbana,-9.680000305,3.160000086,0
46,7.239999771,2/15/2003, Precipitation,Walworth,-11.36999989,2.849999905,7.239999771
47,0.579999983,2/16/2003, Precipitation,ACRE,-18.40999985,-3.829999924,0.579999983
48,0,2/17/2003, Precipitation,AlbertLea,-17.54999924,-5.320000172,0
49,0,2/18/2003, Precipitation,Ames,-13.84000015,-1.870000005,0
50,0,2/19/2003, Precipitation,Antigo,-11.17000008,1.840000033,0
51,0,2/20/2003, Precipitation,Appleton,-10.73999977,3.619999886,0
52,0,2/21/2003, Precipitation,Arlington,0.050000001,6.619999886,0
53,1.080000043,2/22/2003, Precipitation,Bean&Beet,-8.25,4.989999771,1.080000043
54,3.019999981,2/23/2003, Precipitation,Brookings,-14.60000038,2.920000076,3.019999981
55,1.580000043,2/24/2003, Precipitation,Brownstown,-18.68000031,-2.670000076,1.580000043
56,0,2/25/2003, Precipitation,Columbia,-22.28000069,-4.559999943,0
57,0,2/26/2003, Precipitation,Crookston,-21.18000031,-6.579999924,0
58,0,2/27/2003, Precipitation,Dekalb,-17,-2.599999905,0
59,0,2/28/2003, Precipitation,DixonSprings,-12.88000011,-0.150000006,0
60,0,3/1/2003, Precipitation,DPAC,-8.949999809,2.119999886,0
61,0.74000001,3/2/2003, Precipitation,EastLansing,-17.22999954,2.269999981,0.74000001
62,0,3/3/2003, Precipitation,EauClaire,-18.02000046,-0.150000006,0
63,0,3/4/2003, Precipitation,Freeport,-15.25,2.220000029,0
64,1.210000038,3/5/2003, Precipitation,Hancock,-21.88999939,7.769999981,1.210000038
65,1.110000014,3/6/2003, Precipitation,Joilet,-21.46999931,-1.25,1.110000014
66,0,3/7/2003, Precipitation,Kellogg,-11.81999969,-0.589999974,0
67,0,3/8/2003, Precipitation,Lamberton,-12.13000011,5.789999962,0
68,0,3/9/2003, Precipitation,Lancaster,-22.13999939,15.76000023,0
69,0,3/10/2003, Precipitation,Lexington,-21.95000076,-4.429999828,0
70,0,3/11/2003, Precipitation,Manhattan,-21.20000076,-3.079999924,0
71,0,3/12/2003, Precipitation,McNay,-7.28000021,8.079999924,0
72,3.859999895,3/13/2003, Precipitation,Metamora,-6.090000153,13.77999973,3.859999895
73,0,3/14/2003, Precipitation,Monmouth,-4.679999828,4.039999962,0
74,0,3/15/2003, Precipitation,Monroe,-0.230000004,13.71000004,0
75,0,3/16/2003, Precipitation,MorrisIL,2.869999886,17.30999947,0
76,0,3/17/2003, Precipitation,MorrisMN,2.059999943,22.51000023,0
77,0,3/18/2003, Precipitation,Nashua,2.690000057,22.59000015,0
78,2.200000048,3/19/2003, Precipitation,NEPAC,3.680000067,20.29999924,2.200000048
79,0.579999983,3/20/2003, Precipitation,Oceana,2.190000057,18.92000008,0.579999983
80,8.630000114,3/21/2003, Precipitation,Perry,0.680000007,20.84000015,8.630000114
81,0,3/22/2003, Precipitation,PIT,0.159999996,11.52000046,0
82,0,3/23/2003, Precipitation,Portageville,0.670000017,10.38000011,0
83,0,3/24/2003, Precipitation,PPAC,4.28000021,19.29000092,0
84,1.49000001,3/25/2003, Precipitation,Princeton,-0.209999993,24.30999947,1.49000001
85,0,3/26/2003, Precipitation,Rhinelander,-2.74000001,15.35999966,0
86,0,3/27/2003, Precipitation,Rosemount,-1.190000057,17.40999985,0
87,1.669999957,3/28/2003, Precipitation,Sanilac,-0.730000019,19.87000084,1.669999957
88,0.400000006,3/29/2003, Precipitation,SEPAC,-2.24000001,21.14999962,0.400000006
89,0,3/30/2003, Precipitation,Seymour,-4.360000134,6.630000114,0
90,0,3/31/2003, Precipitation,Sutherland,-3.180000067,6.570000172,0
91,0.75999999,4/1/2003, Precipitation,Urbana,0.610000014,14.07999992,0.75999999
92,0,4/2/2003, Precipitation,Walworth,3.619999886,27.56999969,0
93,0,4/3/2003, Precipitation,ACRE,1.450000048,25.30999947,0
94,1.210000038,4/4/2003, Precipitation,AlbertLea,-3.069999933,25.59000015,1.210000038
